episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
594,101609,153,0.8,1,died
595,101763,154,1.0,4,died
596,101939,176,0.8,3,died
597,102090,151,1.0,3,died
598,102257,167,1.1,3,died
599,102411,154,1.4,3,died
600,102688,277,1.5,4,died
601,102829,141,0.9,2,died
602,102971,142,1.1,4,died
603,103137,166,0.9,3,died
604,103297,160,0.6,1,died
605,103522,225,1.2,4,died
606,103653,131,0.7,1,died
607,103836,183,1.1,3,died
608,104006,170,1.0,3,died
609,104200,194,0.9,2,died
610,104400,200,1.3,2,died
611,104610,210,1.0,2,died
612,104777,167,1.1,4,died
613,104967,190,1.1,5,died
614,105149,182,1.0,4,died
615,105350,201,1.5,5,died
616,105512,162,1.4,4,died
617,105779,267,1.1,3,died
618,105975,196,1.0,2,died
619,106137,162,1.1,3,died
620,106320,183,0.9,3,died
621,106499,179,1.3,3,died
622,106687,188,1.0,4,died
623,106863,176,0.9,3,died
624,107029,166,0.5,0,died
625,107200,171,0.8,3,died
626,107398,198,1.3,3,died
627,107573,175,1.4,4,died
628,107766,193,0.8,2,died
629,107963,197,0.9,2,died
630,108131,168,1.0,3,died
631,108322,191,0.8,3,died
632,108491,169,1.1,5,died
633,108652,161,1.1,5,died
634,108831,179,0.9,3,died
635,109049,218,0.9,4,died
636,109209,160,0.8,3,died
637,109405,196,1.4,4,died
638,109583,178,0.8,2,died
639,109670,87,0.4,1,died
640,109788,118,0.6,2,died
641,109961,173,0.7,2,died
642,110155,194,1.2,5,died
643,110365,210,1.1,2,died
644,110529,164,0.95,4,died
645,110738,209,1.5,4,died
646,111000,262,1.1,4,died
647,111157,157,1.0,3,died
648,111319,162,1.0,4,died
649,111499,180,1.3,4,died
650,111671,172,1.35,4,died
651,111853,182,1.4,6,died
652,111980,127,1.2,4,died
653,112189,209,1.2,2,died
654,112356,167,0.7,2,died
655,112539,183,0.8,4,died
656,112711,172,1.3,4,died
657,112864,153,1.15,5,died
658,113058,194,1.0,2,died
659,113255,197,0.7,2,died
660,113438,183,1.3,3,died
661,113618,180,0.8,2,died
662,113774,156,1.2,2,died
663,114000,226,1.95,5,died
664,114210,210,1.1,3,died
665,114345,135,0.7,0,died
666,114497,152,1.3,3,died
667,114691,194,1.0,2,died
668,114832,141,1.2,3,died
669,115009,177,1.4,4,died
670,115173,164,0.7,2,died
671,115256,83,0.4,3,died
672,115420,164,0.5,0,died
673,115605,185,1.45,4,died
674,115747,142,1.2,2,died
675,115907,160,1.5,5,died
676,116088,181,1.0,3,died
677,116257,169,0.9,3,died
678,116432,175,1.6,4,died
679,116583,151,1.1,3,died
680,116768,185,1.6,4,died
681,116929,161,1.0,2,died
682,117194,265,1.2,2,died
683,117357,163,1.2,2,died
684,117618,261,1.5,4,died
685,117780,162,0.9,3,died
686,117951,171,1.1,4,died
687,118176,225,1.1,2,died
688,118336,160,0.8,2,died
689,118522,186,0.7,2,died
690,118705,183,0.6,1,died
691,118939,234,1.5,5,died
692,119092,153,0.7,2,died
693,119237,145,1.1,2,died
694,119466,229,1.05,2,died
695,119655,189,1.1,3,died
696,119766,111,0.5,2,died
697,119922,156,0.8,3,died
698,120091,169,1.2,3,died
699,120266,175,0.5,0,died
700,120422,156,1.1,2,died
701,120559,137,1.2,2,died
702,120769,210,1.4,4,died
703,121032,263,1.85,7,died
704,121187,155,0.7,2,died
705,121381,194,1.3,2,died
706,121585,204,1.6,5,died
707,121749,164,0.95,3,died
708,121951,202,1.3,3,died
709,122157,206,1.7,4,died
710,122282,125,1.15,4,died
711,122480,198,1.4,5,died
712,122685,205,1.2,2,died
713,122930,245,1.7,4,died
714,123140,210,1.4,3,died
715,123344,204,1.65,4,died
716,123625,281,1.7,6,died
717,123793,168,1.0,2,died
718,123974,181,1.7,7,died
719,124149,175,1.35,3,died
720,124333,184,1.3,2,died
721,124525,192,1.1,3,died
722,124704,179,0.7,3,died
723,124856,152,1.2,2,died
724,125095,239,1.5,3,died
725,125182,87,0.3,0,died
726,125366,184,1.1,3,died
727,125561,195,1.5,5,died
728,125807,246,1.8,7,died
729,126007,200,1.1,2,died
730,126088,81,0.5,1,died
731,126279,191,0.9,3,died
732,126457,178,1.2,5,died
733,126624,167,0.7,2,died
734,126798,174,0.8,3,died
735,127083,285,1.7,5,died
736,127323,240,1.2,2,died
737,127485,162,1.0,3,died
738,127678,193,1.0,3,died
739,127849,171,1.1,3,died
740,128023,174,1.1,2,died
741,128111,88,0.5,2,died
742,128295,184,0.6,1,died
743,128486,191,1.2,3,died
744,128664,178,1.4,4,died
745,128796,132,1.0,2,died
746,129015,219,1.6,4,died
747,129218,203,1.9,5,died
748,129444,226,1.7,5,died
749,129673,229,1.0,2,died
750,129945,272,1.2,4,died
751,130151,206,1.2,4,died
752,130349,198,1.4,4,died
753,130513,164,0.8,2,died
754,130702,189,1.3,3,died
755,130909,207,1.6,4,died
756,131074,165,1.4,3,died
757,131324,250,1.4,3,died
758,131582,258,1.4,3,died
759,131743,161,1.6,5,died
760,131950,207,1.5,4,died
761,132121,171,1.3,3,died
762,132193,72,0.4,2,died
763,132369,176,1.2,2,died
764,132545,176,1.1,4,died
765,132664,119,0.9,3,died
766,132824,160,1.3,4,died
767,132996,172,1.4,3,died
768,133153,157,1.4,3,died
769,133328,175,1.4,3,died
770,133468,140,1.1,1,died
771,133660,192,1.2,2,died
772,133871,211,1.5,4,died
773,134001,130,1.0,3,died
774,134276,275,1.4,4,died
775,134471,195,1.5,3,died
776,134658,187,0.8,3,died
777,134791,133,1.3,3,died
778,134976,185,1.4,3,died
779,135178,202,1.3,4,died
780,135365,187,1.0,4,died
781,135539,174,1.4,4,died
782,135780,241,1.1,3,died
783,136020,240,1.4,3,died
784,136212,192,1.3,2,died
785,136313,101,0.5,1,died
786,136456,143,1.2,2,died
787,136613,157,1.1,3,died
788,136757,144,0.9,2,died
789,136955,198,1.3,2,died
790,137206,251,1.5,3,died
791,137413,207,1.3,3,died
792,137568,155,1.3,2,died
793,137731,163,0.8,1,died
794,137921,190,1.0,2,died
795,138105,184,0.9,2,died
796,138167,62,0.5,2,died
797,138330,163,1.2,3,died
798,138464,134,0.9,2,died
799,138611,147,0.6,2,died
800,138693,82,1.0,3,died
801,138916,223,1.8,6,died
802,139026,110,0.5,2,died
803,139182,156,1.0,3,died
804,139350,168,1.3,3,died
805,139534,184,0.9,3,died
806,139760,226,1.3,3,died
807,139897,137,0.8,2,died
808,140041,144,0.9,2,died
809,140207,166,1.3,2,died
810,140393,186,0.7,2,died
811,140561,168,1.4,3,died
812,140744,183,1.5,4,died
813,140903,159,0.8,3,died
814,141113,210,1.5,3,died
815,141298,185,1.1,4,died
816,141462,164,1.4,2,died
817,141614,152,1.1,2,died
818,141756,142,0.5,0,died
819,141910,154,1.4,3,died
820,141979,69,0.5,1,died
821,142275,296,1.3,4,died
822,142457,182,1.4,2,died
823,142644,187,1.1,2,died
824,142814,170,1.4,3,died
825,143016,202,1.0,3,died
826,143086,70,0.4,1,died
827,143185,99,0.6,2,died
828,143372,187,1.9,5,died
829,143570,198,1.7,4,died
830,143710,140,1.2,4,died
831,143858,148,1.4,3,died
832,144009,151,0.7,2,died
833,144183,174,0.8,2,died
834,144374,191,1.2,3,died
835,144535,161,1.0,3,died
836,144754,219,1.6,3,died
837,144925,171,1.1,3,died
838,145095,170,1.5,4,died
839,145262,167,1.3,5,died
840,145426,164,1.8,3,died
841,145594,168,1.1,2,died
842,145784,190,1.55,5,died
843,145940,156,0.4,1,died
844,146123,183,1.2,4,died
845,146287,164,1.2,3,died
846,146433,146,1.1,2,died
847,146494,61,0.2,0,died
848,146593,99,0.8,2,died
849,146761,168,1.2,3,died
850,146927,166,1.0,3,died
851,147100,173,1.6,4,died
852,147312,212,1.7,5,died
853,147467,155,1.0,1,died
854,147587,120,0.8,2,died
855,147714,127,0.8,2,died
856,147869,155,0.7,2,died
857,148001,132,0.7,2,died
858,148062,61,0.1,0,died
859,148269,207,1.0,2,died
860,148477,208,1.1,2,died
861,148632,155,1.1,3,died
862,148794,162,0.9,1,died
863,148955,161,1.1,2,died
864,149124,169,1.3,2,died
865,149265,141,1.0,3,died
866,149450,185,0.9,2,died
867,149621,171,1.2,2,died
